periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,124,109,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,6,6,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,253,245,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,275,250,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,83,78,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,384,373,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,41,41,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,24,23,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,,30,30,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,18,18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,3,3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,,182,181,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,294,281,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,48,48,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,0,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,465,465,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
ENERO - DICIEMBRE,2019,13/01/2020,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,85,85,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,14/06/2023
