"periodo","anio","fecha_descarga","distrito_fiscal","tipo_fiscalia","materia","especialidad","tipo_caso","especilizada","ingresado","atendido","ubigeo_pjfs","dpto_pjfs","prov_pjfs","dist_pjfs","fecha_corte"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","CIVIL","CIVIL","EXPEDIENTE","","83","50","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","ACTOS CONTRA LA LIBERTAD SEXUAL","DENUNCIA","","132","120","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","FAMILIA CIVIL","EXPEDIENTE","","301","278","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","FAMILIA PENAL","DENUNCIA","","345","301","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","FAMILIA PENAL","EXPEDIENTE","","105","102","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","FAMILIA TUTELAR","DENUNCIA","","510","476","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","FAMILIA TUTELAR","EXPEDIENTE","","52","45","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","FAMILIA","VIOLENCIA FAMILIAR","DENUNCIA","","84","70","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","PENAL","PENAL","DENUNCIA","CONTRA LA CRIMINALIDAD ORGANIZADA","25","25","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
"ENERO - DICIEMBRE","2023","1/8/2024","AMAZONAS","PROVINCIAL","PENAL","PENAL","DENUNCIA","DELITOS DE CORRUPCION DE FUNCIONARIOS","489","464","010101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS","1/24/2024"
