periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especilizada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,,182,147,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,,27,25,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,,390,374,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,,337,285,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,,69,64,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,,395,351,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,,53,50,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,,17,17,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CONTRA LA CRIMINALIDAD ORGANIZADA,24,23,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,437,411,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,69,69,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,502,502,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,1027,974,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,,13010,11961,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,,1,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
ENERO - DICIEMBRE,2024,06/01/2025,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,30/10/2025
